,R_P,S_P
R_ANA,0.6731934964160574,0.3268065035839414
R_B!,0.0,1.0
R_B!.D=,0.0,1.0
R_B#,0.9998916994377283,0.00010830056227218948
R_B+,0.5737346226703872,0.4262653773296123
R_B+.D#,0.607112204811174,0.3928877951888253
R_B+.D#.S#,0.6150077653010547,0.3849922346989447
R_B+.D#.S#.ACF,0.6151239838788156,0.3848760161211835
R_B+.D#.S#.APP,0.6389760485835501,0.3610239514164498
R_B+.D#.S#.AX1,0.6463209350466378,0.3536790649533621
R_B+.D#.S#.AX5,0.6205785488341853,0.37942145116581383
R_B+.D#.S#.AX6,0.6024017447708088,0.3975982552291907
R_B+.D#.S#.AX7,0.5791273741676835,0.420872625832316
R_B+.D#.S#.AX8,0.5593798438277086,0.4406201561722912
R_B+.D#.S#.AXM,0.5892854453178913,0.41071455468210905
R_B+.D#.S#.AXP,0.5877939625578168,0.41220603744218354
R_B+.D#.S=,0.0,1.0
R_B+.D+,0.519859354405658,0.480140645594342
R_B+.D+.S#,0.5351912363839939,0.46480876361600665
R_B+.D+.S#.ANA,0.460102419133983,0.539897580866016
R_B+.D+.S#.AV5,0.5343601358392707,0.4656398641607302
R_B+.D+.S#.AV6,0.5424310765760234,0.4575689234239781
R_B+.D+.S#.AVP,0.5092050897425953,0.49079491025740474
R_B+.D+.S#.AX5,0.5415114852225644,0.4584885147774356
R_B+.D+.S#.AX6,0.62993468893298,0.370065311067019
R_B+.D+.S-,0.337832552266369,0.6621674477336307
R_B-,0.3427590724200369,0.6572409275799624
R_B-.ANA,0.5923278880661458,0.4076721119338544
R_B-.D-,0.32455620882925773,0.6754437911707407
R_B-.D-.ANA,0.4306304157073636,0.5693695842926354
R_B/,0.4393397263460514,0.5606602736539483
R_B=,0.0,1.0
R_D!,0.46290636482778935,0.5370936351722099
R_D!.S#,0.46290636482778935,0.5370936351722099
R_D!.S#.AV5,0.46290636482778935,0.5370936351722099
R_D#,0.5905256895668387,0.40947431043316035
R_D#.S#,0.5992660280061611,0.40073397199383826
R_D#.S#.ACB,0.7362398226262451,0.263760177373754
R_D#.S#.ACF,0.6340884496647534,0.3659115503352468
R_D#.S#.ANA,0.48637961636493393,0.5136203836350655
R_D#.S#.APP,0.6200289931848698,0.3799710068151296
R_D#.S#.AV5,0.5408168582195219,0.4591831417804779
R_D#.S#.AV6,0.49884754867983905,0.5011524513201607
R_D#.S#.AVP,0.45816593025280244,0.5418340697471964
R_D#.S#.AX1,0.6165212990861278,0.38347870091387143
R_D#.S#.AX2,0.6146181390444773,0.3853818609555226
R_D#.S#.AX3,0.6128750700302663,0.3871249299697333
R_D#.S#.AX4,0.5693150968460442,0.43068490315395536
R_D#.S#.AX5,0.6012496366746716,0.39875036332532776
R_D#.S#.AX6,0.6090482431565084,0.3909517568434915
R_D#.S#.AX7,0.6054641817908859,0.3945358182091139
R_D#.S#.AX8,0.4923807999108242,0.5076192000891757
R_D#.S#.AX9,0.5958521309103034,0.404147869089697
R_D#.S#.AXM,0.5848607501469991,0.4151392498529999
R_D#.S#.AXP,0.5667832084604085,0.43321679153959103
R_D#.S-,0.4220678101795511,0.5779321898204486
R_D#.S=,0.0,1.0
R_D+,0.5098834454579508,0.4901165545420487
R_D+.ANA,0.49198246061264744,0.5080175393873524
R_D+.S#,0.5280891796605571,0.471910820339442
R_D+.S#.ANA,0.48714259071009264,0.512857409289907
R_D+.S#.APP,0.5580643463084329,0.44193565369156657
R_D+.S#.AV5,0.5240318485665318,0.4759681514334687
R_D+.S#.AV6,0.5249392392581891,0.4750607607418111
R_D+.S#.AV8,0.45616225610539074,0.5438377438946085
R_D+.S#.AVB,0.4713362786607471,0.5286637213392525
R_D+.S#.AVP,0.48253052614578146,0.5174694738542183
R_D+.S#.AVR,0.4888909610489548,0.5111090389510449
R_D+.S#.AX4,0.4515727141449204,0.5484272858550788
R_D+.S#.AX5,0.5843786533401907,0.4156213466598094
R_D+.S#.AX6,0.5511044244919089,0.4488955755080912
R_D+.S#.AX8,0.5226953788697277,0.47730462113027156
R_D+.S#.AX9,0.4206127154329794,0.5793872845670205
R_D+.S-,0.3283280555170646,0.6716719444829348
R_D+.S-.ANA,0.425511242368836,0.5744887576311634
R_D+.S-.F=,0.0,1.0
R_D+.S=,0.0,1.0
R_D-,0.330485923119174,0.6695140768808255
R_D-.ANA,0.45573112065365334,0.5442688793463465
R_D-.S#,0.3550518700661284,0.6449481299338713
R_D-.S#.ANA,0.3550518700661284,0.6449481299338713
R_D-.S-,0.3415658650460801,0.6584341349539202
