prev_state,R_ACB,R_ACD,R_ACF,R_ANA,R_APP,R_AV0,R_AV5,R_AV6,R_AV8,R_AVB,R_AVP,R_AVR,R_AX0,R_AX1,R_AX2,R_AX3,R_AX4,R_AX5,R_AX6,R_AX7,R_AX8,R_AX9,R_AXB,R_AXL,R_AXM,R_AXO,R_AXP,R_AXR,R_AXS,R_B!,R_B#,R_B+,R_B-,R_B/,R_B=,R_D!,R_D#,R_D+,R_D-,R_D=,R_F!,R_F#,R_F+,R_F-,R_F/,R_F=,R_P,R_R!,R_R#,R_R+,R_R-,R_R/,R_R=,R_S#,R_S-,R_S=,S_ACB,S_ACD,S_ACF,S_ANA,S_APP,S_AV0,S_AV5,S_AV6,S_AV8,S_AVB,S_AVP,S_AVR,S_AX0,S_AX1,S_AX2,S_AX3,S_AX4,S_AX5,S_AX6,S_AX7,S_AX8,S_AX9,S_AXB,S_AXL,S_AXM,S_AXO,S_AXP,S_AXR,S_AXS,S_B!,S_B#,S_B+,S_B-,S_B/,S_B=,S_D!,S_D#,S_D+,S_D-,S_D=,S_F!,S_F#,S_F+,S_F-,S_F/,S_F=,S_P,S_R-,S_R/,S_R=,S_S#,S_S-,S_S=,S_SV
R_ACB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18517911413154234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012378057965107523,0.07221715207201779,0.08933555435447144,0.01619691478898822,0.04741673385846307,0.11128290552095055,0.0,0.0886665898760422,0.10704760723367682,0.05077484693561106,0.13348277970246586,0.0,0.0,0.0,0.0,0.0,0.0,0.08602174356066311,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_ACD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10664335664335664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.007575757575757576,0.21445221445221446,0.007575757575757576,0.030303030303030304,0.06060606060606061,0.0,0.1451048951048951,0.1148018648018648,0.05303030303030303,0.08391608391608392,0.0,0.0,0.0,0.0,0.0,0.0,0.1456876456876457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_ACF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28650539201399e-05,0.0,0.0,0.0,0.0,7.28650539201399e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.15134303336564842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000709867771328412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02688559350625834,0.07590630128123654,0.08972054867033111,0.015473626878956592,0.05940576559468257,0.13934814630698555,0.0,0.07419057348775554,0.11608475671128943,0.05434277735601875,0.10645911691381701,0.0,0.0,0.0,0.0,0.0,0.0,0.08998416204785145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_ANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.134703196347032e-05,9.041591320072333e-05,7.134703196347032e-05,0.00014269406392694063,0.00016176294516419363,0.0,0.0006279828994195215,0.0008088147258209681,0.0013273128308025134,0.0004471510730180749,0.0,0.0,7.134703196347032e-05,7.134703196347032e-05,0.0,0.0,0.17475556223009403,0.0,0.0,0.0,0.0,0.0,0.0,0.00014269406392694063,0.00014269406392694063,0.0,0.0,0.0,0.0,0.0009896465522224148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014824339220689143,0.04726241567374305,0.07836889589371382,0.01737933707382728,0.048113651564319154,0.06144034820448034,0.0,0.1915999642877786,0.13196899229606876,0.05272850144913176,0.09494775281362762,0.0004139418035291106,0.0009896465522224148,0.0008992306390216916,0.0005566358674560512,9.041591320072333e-05,0.00016176294516419363,0.0779894535410835,9.041591320072333e-05,0.0,0.0,0.00025217885836491694,0.0,0.0,0.0
R_APP,0.0,0.0,0.0,0.00031746031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013528138528138528,0.0,0.0,0.0,0.00013528138528138528,0.0,0.20823593073593072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003757215007215007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019805194805194805,0.0589520202020202,0.07433982683982684,0.027303391053391052,0.051423160173160176,0.04720779220779221,0.0,0.15051226551226551,0.19177849927849927,0.07435064935064936,0.09034632034632034,0.0,0.00027056277056277056,0.0,0.00027056277056277056,0.0,0.00031746031746031746,0.00027056277056277056,0.0,0.0,0.0,0.00027056277056277056,0.0,0.0,0.0
R_AV0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020885028949545078,0.06596360628618693,0.1366832092638544,0.0,0.05314309346567411,0.09636062861869313,0.0,0.2733664185277088,0.18796526054590573,0.01282051282051282,0.049834574028122414,0.0,0.0,0.0,0.0,0.0,0.0,0.08684863523573201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AV5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0113225728740063e-05,0.0,3.0113225728740063e-05,0.0,0.0001255877340350223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07458794734039209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001858141854925024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025872993741555127,0.07833504003696251,0.12880822191228974,0.017288769377978633,0.0539251051588113,0.10512905457880424,0.0,0.16919970051686878,0.145052602291011,0.03785766082532572,0.0636300452274545,7.785047988188118e-05,0.0,0.0,3.0113225728740063e-05,0.0,4.773725415314111e-05,0.09975541643606886,0.0,0.0,0.0,3.0113225728740063e-05,0.0,0.0,0.0
R_AV6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001365001365001365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08634258003343177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000273000273000273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02444558122791561,0.07559782323189262,0.12779943694770193,0.016827840171688754,0.05701485827668793,0.10654416963565227,0.0,0.12877302309478966,0.15935938806601269,0.03984641366344836,0.06918102501698717,0.0,0.0,0.00014338973329509606,0.0,0.0,0.00014338973329509606,0.10757158075770062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AV8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017421602787456446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06598036110231231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004772463309048675,0.055073381902650195,0.04954070319923978,0.008256783866539965,0.02863477985429205,0.07726744799915532,0.0,0.22399957765811424,0.23058811107591595,0.061207897793263646,0.062115932847640165,0.0,0.0,0.0,0.0,0.0,0.0,0.12779009608277903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AVB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07534380499250472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01774424819135762,0.04858893306393795,0.042397184383758064,0.002183406113537118,0.011829498794238415,0.03767190249625236,0.0,0.3160235938212866,0.27561428664537574,0.03084468487258033,0.036482434986638855,0.0,0.0,0.002183406113537118,0.002183406113537118,0.0,0.0,0.10090920941145799,0.0,0.0,0.0,0.0,0.0,0.0,0.0
