state,next_state,prob
R_ANA,R_P,0.233380480905233
R_ANA,S_ANA,0.000471475719000471
R_ANA,S_B!,0.0179160773220179
R_ANA,S_B#,0.0367751060820368
R_ANA,S_B+,0.0754361150400754
R_ANA,S_B-,0.0188590287600189
R_ANA,S_B/,0.0513908533710514
R_ANA,S_B=,0.0853371051390853
R_ANA,S_D#,0.0900518623290901
R_ANA,S_D+,0.114097123998114
R_ANA,S_D-,0.0711928335690712
R_ANA,S_D=,0.128241395568128
R_ANA,S_F#,0.000942951438000943
R_ANA,S_F+,0.000471475719000471
R_ANA,S_F-,0.000471475719000471
R_ANA,S_F/,0.000471475719000471
R_ANA,S_F=,0.000471475719000471
R_ANA,S_P,0.0735502121640736
R_ANA,S_SV,0.000471475719000471
R_B!,R_B!.D=,1
R_B!.D=,S_P,1
R_B#,R_P,0.660199882422105
R_B#,S_D-,0.000293944738389183
R_B#,S_D=,0.339506172839506
R_B+,R_B+.D#,0.449227600411946
R_B+,R_B+.D+,0.419361483007209
R_B+,S_D-,0.131410916580845
R_B+.D#,R_B+.D#.S#,0.987161852361302
R_B+.D#,R_B+.D#.S=,0.0128381476386978
R_B+.D#.S#,R_B+.D#.S#.ACF,0.0524849047840223
R_B+.D#.S#,R_B+.D#.S#.APP,0.0594519275429633
R_B+.D#.S#,R_B+.D#.S#.AX1,0.113330236878774
R_B+.D#.S#,R_B+.D#.S#.AX5,0.443102647468648
R_B+.D#.S#,R_B+.D#.S#.AX6,0.181607059916396
R_B+.D#.S#,R_B+.D#.S#.AX7,0.0427310729215049
R_B+.D#.S#,R_B+.D#.S#.AX8,0.0264746864839758
R_B+.D#.S#,R_B+.D#.S#.AXM,0.0311193683232699
R_B+.D#.S#,R_B+.D#.S#.AXP,0.0496980956804459
R_B+.D#.S#.ACF,R_P,0.132743362831858
R_B+.D#.S#.ACF,S_B!,0.0176991150442478
R_B+.D#.S#.ACF,S_B#,0.079646017699115
R_B+.D#.S#.ACF,S_B+,0.0619469026548673
R_B+.D#.S#.ACF,S_B-,0.0176991150442478
R_B+.D#.S#.ACF,S_B/,0.0530973451327434
R_B+.D#.S#.ACF,S_B=,0.150442477876106
R_B+.D#.S#.ACF,S_D#,0.0530973451327434
R_B+.D#.S#.ACF,S_D+,0.150442477876106
R_B+.D#.S#.ACF,S_D-,0.0353982300884956
R_B+.D#.S#.ACF,S_D=,0.132743362831858
R_B+.D#.S#.ACF,S_P,0.115044247787611
R_B+.D#.S#.APP,R_P,0.1953125
R_B+.D#.S#.APP,S_B!,0.0078125
R_B+.D#.S#.APP,S_B#,0.03125
R_B+.D#.S#.APP,S_B+,0.078125
R_B+.D#.S#.APP,S_B-,0.015625
R_B+.D#.S#.APP,S_B/,0.0390625
R_B+.D#.S#.APP,S_B=,0.0390625
R_B+.D#.S#.APP,S_D#,0.1875
R_B+.D#.S#.APP,S_D+,0.25
R_B+.D#.S#.APP,S_D-,0.046875
R_B+.D#.S#.APP,S_D=,0.109375
R_B+.D#.S#.AX1,R_P,0.188524590163934
R_B+.D#.S#.AX1,S_B!,0.0327868852459016
R_B+.D#.S#.AX1,S_B#,0.0532786885245902
R_B+.D#.S#.AX1,S_B+,0.0901639344262295
R_B+.D#.S#.AX1,S_B-,0.0204918032786885
R_B+.D#.S#.AX1,S_B/,0.0532786885245902
R_B+.D#.S#.AX1,S_B=,0.0860655737704918
R_B+.D#.S#.AX1,S_D#,0.0778688524590164
R_B+.D#.S#.AX1,S_D+,0.14344262295082
R_B+.D#.S#.AX1,S_D-,0.0491803278688525
R_B+.D#.S#.AX1,S_D=,0.127049180327869
R_B+.D#.S#.AX1,S_F-,0.0040983606557377
R_B+.D#.S#.AX1,S_P,0.0737704918032787
R_B+.D#.S#.AX5,R_P,0.111111111111111
R_B+.D#.S#.AX5,S_B!,0.0492662473794549
R_B+.D#.S#.AX5,S_B#,0.0932914046121593
R_B+.D#.S#.AX5,S_B+,0.124737945492662
R_B+.D#.S#.AX5,S_B-,0.0188679245283019
R_B+.D#.S#.AX5,S_B/,0.0555555555555556
R_B+.D#.S#.AX5,S_B=,0.187631027253669
R_B+.D#.S#.AX5,S_D#,0.0828092243186583
R_B+.D#.S#.AX5,S_D+,0.10482180293501
R_B+.D#.S#.AX5,S_D-,0.0482180293501048
R_B+.D#.S#.AX5,S_D=,0.0649895178197065
R_B+.D#.S#.AX5,S_P,0.0587002096436059
R_B+.D#.S#.AX6,R_P,0.107416879795396
R_B+.D#.S#.AX6,S_B!,0.0358056265984655
R_B+.D#.S#.AX6,S_B#,0.0716112531969309
R_B+.D#.S#.AX6,S_B+,0.0946291560102302
R_B+.D#.S#.AX6,S_B-,0.0255754475703325
R_B+.D#.S#.AX6,S_B/,0.030690537084399
R_B+.D#.S#.AX6,S_B=,0.127877237851662
R_B+.D#.S#.AX6,S_D#,0.132992327365729
R_B+.D#.S#.AX6,S_D+,0.130434782608696
R_B+.D#.S#.AX6,S_D-,0.0460358056265985
R_B+.D#.S#.AX6,S_D=,0.115089514066496
R_B+.D#.S#.AX6,S_P,0.081841432225064
R_B+.D#.S#.AX7,R_P,0.141304347826087
R_B+.D#.S#.AX7,S_B!,0.0217391304347826
R_B+.D#.S#.AX7,S_B#,0.0869565217391304
R_B+.D#.S#.AX7,S_B+,0.152173913043478
R_B+.D#.S#.AX7,S_B-,0.0108695652173913
R_B+.D#.S#.AX7,S_B/,0.0760869565217391
R_B+.D#.S#.AX7,S_B=,0.108695652173913
R_B+.D#.S#.AX7,S_D#,0.0760869565217391
R_B+.D#.S#.AX7,S_D+,0.173913043478261
R_B+.D#.S#.AX7,S_D-,0.0434782608695652
R_B+.D#.S#.AX7,S_D=,0.0543478260869565
R_B+.D#.S#.AX7,S_P,0.0543478260869565
R_B+.D#.S#.AX8,R_P,0.12280701754386
R_B+.D#.S#.AX8,S_B!,0.0175438596491228
R_B+.D#.S#.AX8,S_B#,0.0701754385964912
R_B+.D#.S#.AX8,S_B+,0.0701754385964912
R_B+.D#.S#.AX8,S_B-,0.0175438596491228
R_B+.D#.S#.AX8,S_B/,0.0526315789473684
R_B+.D#.S#.AX8,S_B=,0.105263157894737
R_B+.D#.S#.AX8,S_D#,0.105263157894737
R_B+.D#.S#.AX8,S_D+,0.157894736842105
R_B+.D#.S#.AX8,S_D-,0.0350877192982456
R_B+.D#.S#.AX8,S_D=,0.105263157894737
R_B+.D#.S#.AX8,S_P,0.140350877192982
R_B+.D#.S#.AXM,R_P,0.149253731343284
R_B+.D#.S#.AXM,S_B!,0.0149253731343284
