,State_1
0,R_ANA
1,R_ANA.D#
2,R_ANA.D#.S#
3,R_ANA.D#.S#.AX6
4,R_ANA.D#.S#.AX7
5,R_ANA.D+
6,R_ANA.D+.S#
7,R_ANA.D+.S#.AV5
8,R_ANA.D+.S-
9,R_ANA.D-
10,R_ANA.D-.ANA
11,R_ANA.D-.S#
12,R_ANA.D-.S#.AX5
13,R_AX4
14,R_B!
15,R_B!.D=
16,R_B#
17,R_B+
18,R_B+.D#
19,R_B+.D#.S#
20,R_B+.D#.S#.ACB
21,R_B+.D#.S#.ACD
22,R_B+.D#.S#.ACF
23,R_B+.D#.S#.ANA
24,R_B+.D#.S#.APP
25,R_B+.D#.S#.AV5
26,R_B+.D#.S#.AV6
27,R_B+.D#.S#.AV8
28,R_B+.D#.S#.AVP
29,R_B+.D#.S#.AX0
30,R_B+.D#.S#.AX1
31,R_B+.D#.S#.AX2
32,R_B+.D#.S#.AX3
33,R_B+.D#.S#.AX4
34,R_B+.D#.S#.AX5
35,R_B+.D#.S#.AX6
36,R_B+.D#.S#.AX7
37,R_B+.D#.S#.AX8
38,R_B+.D#.S#.AX9
39,R_B+.D#.S#.AXB
40,R_B+.D#.S#.AXL
41,R_B+.D#.S#.AXM
42,R_B+.D#.S#.AXP
43,R_B+.D#.S#.AXR
44,R_B+.D#.S#.AXS
45,R_B+.D#.S-
46,R_B+.D#.S-.ANA
47,R_B+.D#.S-.F=
48,R_B+.D#.S=
49,R_B+.D+
50,R_B+.D+.S#
51,R_B+.D+.S#.ACF
52,R_B+.D+.S#.ANA
53,R_B+.D+.S#.APP
54,R_B+.D+.S#.AV0
55,R_B+.D+.S#.AV5
56,R_B+.D+.S#.AV6
57,R_B+.D+.S#.AV8
58,R_B+.D+.S#.AVB
59,R_B+.D+.S#.AVP
60,R_B+.D+.S#.AVR
61,R_B+.D+.S#.AX0
62,R_B+.D+.S#.AX1
63,R_B+.D+.S#.AX3
64,R_B+.D+.S#.AX4
65,R_B+.D+.S#.AX5
66,R_B+.D+.S#.AX6
67,R_B+.D+.S#.AX7
68,R_B+.D+.S#.AX8
69,R_B+.D+.S#.AX9
70,R_B+.D+.S#.AXM
71,R_B+.D+.S#.AXO
72,R_B+.D+.S#.AXP
73,R_B+.D+.S-
74,R_B+.D+.S-.ANA
75,R_B+.D+.S-.F=
76,R_B+.D+.S-.R/
77,R_B+.D+.S=
78,R_B-
79,R_B-.ANA
80,R_B-.B+
81,R_B-.B+.D+
82,R_B-.B+.D+.S#
83,R_B-.B+.D+.S#.AV6
84,R_B-.B-
85,R_B-.B-.D-
86,R_B-.B-.D-.ANA
87,R_B-.B=
88,R_B-.D-
89,R_B-.D-.ANA
90,R_B-.D-.F!
91,R_B-.D-.F!.S-
92,R_B-.D-.S#
93,R_B-.D-.S#.ANA
94,R_B-.D-.S#.AV5
95,R_B-.F#
96,R_B-.F#.S#
97,R_B-.F#.S#.AX1
98,R_B-.F+
99,R_B-.F+.S#
100,R_B-.F+.S#.ACF
101,R_B-.F+.S#.AX1
102,R_B-.F-
103,R_B-.F-.S#
104,R_B-.F-.S#.AV5
105,R_B-.S#
106,R_B-.S#.APP
107,R_B-.S#.AV5
108,R_B-.S#.AV6
109,R_B-.S#.AV8
110,R_B-.S#.AX5
111,R_B-.S#.AX6
112,R_B-.S#.AX7
113,R_B/
114,R_B=
115,R_D!
116,R_D!.AV5
117,R_D!.S#
118,R_D!.S#.ANA
119,R_D!.S#.AV5
120,R_D!.S#.AV6
121,R_D!.S#.AVB
122,R_D!.S#.AVP
123,R_D!.S#.AVR
124,R_D!.S#.AX3
125,R_D!.S#.AX4
126,R_D!.S#.AX5
127,R_D!.S#.AX6
128,R_D!.S#.AX9
129,R_D#
130,R_D#.S#
131,R_D#.S#.ACB
132,R_D#.S#.ACD
133,R_D#.S#.ACF
134,R_D#.S#.ANA
135,R_D#.S#.APP
136,R_D#.S#.AV0
137,R_D#.S#.AV5
138,R_D#.S#.AV6
139,R_D#.S#.AV8
140,R_D#.S#.AVB
141,R_D#.S#.AVP
142,R_D#.S#.AVR
143,R_D#.S#.AX0
144,R_D#.S#.AX1
145,R_D#.S#.AX2
146,R_D#.S#.AX3
147,R_D#.S#.AX4
148,R_D#.S#.AX5
149,R_D#.S#.AX6
150,R_D#.S#.AX6.D=
151,R_D#.S#.AX7
152,R_D#.S#.AX8
153,R_D#.S#.AX9
154,R_D#.S#.AXB
155,R_D#.S#.AXL
156,R_D#.S#.AXM
157,R_D#.S#.AXO
158,R_D#.S#.AXP
159,R_D#.S#.AXR
160,R_D#.S#.AXS
161,R_D#.S-
162,R_D#.S-.ANA
163,R_D#.S-.F/
164,R_D#.S-.F=
165,R_D#.S=
166,R_D+
167,R_D+.ANA
168,R_D+.APP
169,R_D+.AX5
170,R_D+.S#
171,R_D+.S#.ACF
172,R_D+.S#.ANA
173,R_D+.S#.APP
174,R_D+.S#.AV0
175,R_D+.S#.AV5
176,R_D+.S#.AV6
177,R_D+.S#.AV6.D-
178,R_D+.S#.AV6.D-.S#
179,R_D+.S#.AV6.D-.S#.AV5
180,R_D+.S#.AV8
181,R_D+.S#.AV8.B=
182,R_D+.S#.AVB
183,R_D+.S#.AVP
184,R_D+.S#.AVR
