,State_2
0,R_ANA
1,R_B!
2,R_B!.D=
3,R_B#
4,R_B+
5,R_B+.D#
6,R_B+.D#.S#
7,R_B+.D#.S#.ACF
8,R_B+.D#.S#.APP
9,R_B+.D#.S#.AX1
10,R_B+.D#.S#.AX5
11,R_B+.D#.S#.AX6
12,R_B+.D#.S#.AX7
13,R_B+.D#.S#.AX8
14,R_B+.D#.S#.AXM
15,R_B+.D#.S#.AXP
16,R_B+.D#.S=
17,R_B+.D+
18,R_B+.D+.S#
19,R_B+.D+.S#.ANA
20,R_B+.D+.S#.AV5
21,R_B+.D+.S#.AV6
22,R_B+.D+.S#.AVP
23,R_B+.D+.S#.AX5
24,R_B+.D+.S#.AX6
25,R_B+.D+.S-
26,R_B-
27,R_B-.ANA
28,R_B-.D-
29,R_B-.D-.ANA
30,R_B/
31,R_B=
32,R_D!
33,R_D!.S#
34,R_D!.S#.AV5
35,R_D#
36,R_D#.S#
37,R_D#.S#.ACB
38,R_D#.S#.ACF
39,R_D#.S#.ANA
40,R_D#.S#.APP
41,R_D#.S#.AV5
42,R_D#.S#.AV6
43,R_D#.S#.AVP
44,R_D#.S#.AX1
45,R_D#.S#.AX2
46,R_D#.S#.AX3
47,R_D#.S#.AX4
48,R_D#.S#.AX5
49,R_D#.S#.AX6
50,R_D#.S#.AX7
51,R_D#.S#.AX8
52,R_D#.S#.AX9
53,R_D#.S#.AXM
54,R_D#.S#.AXP
55,R_D#.S-
56,R_D#.S=
57,R_D+
58,R_D+.ANA
59,R_D+.S#
60,R_D+.S#.ANA
61,R_D+.S#.APP
62,R_D+.S#.AV5
63,R_D+.S#.AV6
64,R_D+.S#.AV8
65,R_D+.S#.AVB
66,R_D+.S#.AVP
67,R_D+.S#.AVR
68,R_D+.S#.AX4
69,R_D+.S#.AX5
70,R_D+.S#.AX6
71,R_D+.S#.AX8
72,R_D+.S#.AX9
73,R_D+.S-
74,R_D+.S-.ANA
75,R_D+.S-.F=
76,R_D+.S=
77,R_D-
78,R_D-.ANA
79,R_D-.S#
80,R_D-.S#.ANA
81,R_D-.S-
82,R_D-.S-.ANA
83,R_D-.S=
84,R_D=
85,R_F!
86,R_F!.S#
87,R_F!.S#.AX1
88,R_F!.S#.AX5
89,R_F!.S#.AX6
90,R_F!.S#.AXM
91,R_F#
92,R_F#.S#
93,R_F#.S#.ACF
94,R_F#.S#.APP
95,R_F#.S#.AX1
96,R_F#.S#.AX5
97,R_F#.S#.AX6
98,R_F#.S#.AX7
99,R_F#.S#.AXM
100,R_F#.S#.AXP
101,R_F+
102,R_F+.S#
103,R_F+.S#.ACF
104,R_F+.S#.APP
105,R_F+.S#.AX1
106,R_F+.S#.AX5
107,R_F+.S#.AX6
108,R_F+.S#.AX7
109,R_F+.S#.AX8
110,R_F+.S#.AXM
111,R_F+.S#.AXP
112,R_F-
113,R_F-.S#
114,R_F-.S#.AV5
115,R_F-.S#.AV6
116,R_F-.S#.AX5
117,R_F-.S#.AX6
118,R_F/
119,R_F=
120,R_P
121,R_R!
122,R_R!.S#
123,R_R!.S#.ACB
124,R_R!.S#.ACF
125,R_R!.S#.ANA
126,R_R!.S#.APP
127,R_R!.S#.AV5
128,R_R!.S#.AV6
129,R_R!.S#.AVP
130,R_R!.S#.AX1
131,R_R!.S#.AX2
132,R_R!.S#.AX3
133,R_R!.S#.AX4
134,R_R!.S#.AX5
135,R_R!.S#.AX6
136,R_R!.S#.AX7
137,R_R!.S#.AX8
138,R_R!.S#.AX9
139,R_R!.S#.AXB
140,R_R!.S#.AXL
141,R_R!.S#.AXM
142,R_R!.S#.AXP
143,R_R!.S-
144,R_R!.S=
145,R_R#
146,R_R#.S#
147,R_R#.S#.ACB
148,R_R#.S#.ACF
149,R_R#.S#.APP
150,R_R#.S#.AX1
151,R_R#.S#.AX2
152,R_R#.S#.AX3
153,R_R#.S#.AX4
154,R_R#.S#.AX5
155,R_R#.S#.AX6
156,R_R#.S#.AX7
157,R_R#.S#.AX8
158,R_R#.S#.AX9
159,R_R#.S#.AXM
160,R_R#.S#.AXP
161,R_R#.S#.AXR
162,R_R#.S#.AXS
163,R_R#.S-
164,R_R#.S=
165,R_R+
166,R_R+.S#
167,R_R+.S#.ACB
168,R_R+.S#.ACF
169,R_R+.S#.ANA
170,R_R+.S#.APP
171,R_R+.S#.AV5
172,R_R+.S#.AV6
173,R_R+.S#.AX0
174,R_R+.S#.AX1
175,R_R+.S#.AX2
176,R_R+.S#.AX3
177,R_R+.S#.AX4
178,R_R+.S#.AX5
179,R_R+.S#.AX6
180,R_R+.S#.AX7
181,R_R+.S#.AX8
182,R_R+.S#.AX9
183,R_R+.S#.AXB
184,R_R+.S#.AXM
185,R_R+.S#.AXP
186,R_R+.S#.AXR
187,R_R+.S#.AXS
188,R_R+.S-
189,R_R+.S=
190,R_R-
191,R_R-.ANA
192,R_R-.S#
193,R_R-.S#.ACF
194,R_R-.S#.ANA
195,R_R-.S#.APP
196,R_R-.S#.AV0
197,R_R-.S#.AV5
198,R_R-.S#.AV6
199,R_R-.S#.AV8
200,R_R-.S#.AVB
201,R_R-.S#.AVP
202,R_R-.S#.AVR
203,R_R-.S#.AX1
204,R_R-.S#.AX2
205,R_R-.S#.AX3
206,R_R-.S#.AX4
207,R_R-.S#.AX5
208,R_R-.S#.AX6
209,R_R-.S#.AX7
210,R_R-.S#.AX8
211,R_R-.S#.AX9
212,R_R-.S#.AXM
213,R_R-.S#.AXP
214,R_R-.S-
215,R_R-.S-.ANA
216,R_R-.S=
217,R_R/
218,R_R=
219,S_ANA
220,S_B!
221,S_B!.D=
222,S_B#
223,S_B+
224,S_B+.D#
225,S_B+.D#.S#
226,S_B+.D#.S#.ACB
227,S_B+.D#.S#.ACF
228,S_B+.D#.S#.APP
229,S_B+.D#.S#.AV5
230,S_B+.D#.S#.AV6
231,S_B+.D#.S#.AX1
232,S_B+.D#.S#.AX2
233,S_B+.D#.S#.AX4
234,S_B+.D#.S#.AX5
235,S_B+.D#.S#.AX6
236,S_B+.D#.S#.AX7
237,S_B+.D#.S#.AX8
238,S_B+.D#.S#.AXM
239,S_B+.D#.S#.AXP
240,S_B+.D#.S-
241,S_B+.D#.S=
242,S_B+.D+
243,S_B+.D+.S#
244,S_B+.D+.S#.ANA
245,S_B+.D+.S#.APP
246,S_B+.D+.S#.AV5
247,S_B+.D+.S#.AV6
248,S_B+.D+.S#.AV8
249,S_B+.D+.S#.AVB
250,S_B+.D+.S#.AVP
251,S_B+.D+.S#.AX5
252,S_B+.D+.S#.AX6
253,S_B+.D+.S#.AX8
254,S_B+.D+.S-
255,S_B+.D+.S-.ANA
256,S_B+.D+.S=
257,S_B-
258,S_B-.ANA
259,S_B-.D-
260,S_B-.D-.ANA
261,S_B/
262,S_B=
263,S_D#
264,S_D#.S#
265,S_D#.S#.ACB
266,S_D#.S#.ACF
267,S_D#.S#.ANA
268,S_D#.S#.APP
269,S_D#.S#.AV5
270,S_D#.S#.AV6
271,S_D#.S#.AVP
272,S_D#.S#.AX1
273,S_D#.S#.AX2
274,S_D#.S#.AX3
275,S_D#.S#.AX4
276,S_D#.S#.AX5
277,S_D#.S#.AX6
278,S_D#.S#.AX7
279,S_D#.S#.AX8
280,S_D#.S#.AX9
281,S_D#.S#.AXM
282,S_D#.S#.AXP
283,S_D#.S-
284,S_D#.S=
285,S_D+
286,S_D+.ANA
287,S_D+.S#
288,S_D+.S#.ANA
289,S_D+.S#.APP
290,S_D+.S#.AV5
291,S_D+.S#.AV6
292,S_D+.S#.AV8
293,S_D+.S#.AVB
294,S_D+.S#.AVP
295,S_D+.S#.AVR
296,S_D+.S#.AX1
297,S_D+.S#.AX3
298,S_D+.S#.AX4
299,S_D+.S#.AX5
300,S_D+.S#.AX6
301,S_D+.S#.AX8
302,S_D+.S#.AX9
303,S_D+.S#.AXP
304,S_D+.S-
305,S_D+.S-.ANA
306,S_D+.S-.F=
307,S_D+.S=
308,S_D-
309,S_D-.ANA
310,S_D-.S#
311,S_D-.S#.ANA
312,S_D-.S-
313,S_D-.S=
314,S_D=
315,S_F!
316,S_F!.S#
317,S_F!.S#.ACB
318,S_F!.S#.APP
319,S_F!.S#.AX1
320,S_F!.S#.AX5
321,S_F!.S#.AX6
322,S_F!.S#.AXM
323,S_F#
324,S_F#.S#
325,S_F#.S#.ACF
326,S_F#.S#.APP
327,S_F#.S#.AX1
328,S_F#.S#.AX2
329,S_F#.S#.AX5
330,S_F#.S#.AX6
331,S_F#.S#.AX7
332,S_F#.S#.AXM
333,S_F#.S#.AXP
334,S_F+
335,S_F+.S#
336,S_F+.S#.ACF
337,S_F+.S#.APP
338,S_F+.S#.AX1
339,S_F+.S#.AX2
340,S_F+.S#.AX5
341,S_F+.S#.AX6
342,S_F+.S#.AX7
343,S_F+.S#.AXM
344,S_F+.S#.AXP
345,S_F-
346,S_F-.S#
347,S_F-.S#.ANA
348,S_F-.S#.AV5
349,S_F-.S#.AV6
350,S_F-.S#.AX5
351,S_F-.S#.AX6
352,S_F-.S-
353,S_F/
354,S_F=
355,S_P
356,S_SV
